year,AS-RCEC_TaiESM1_r1i1p1f1,CNRM-CERFACS_CNRM-CM6-1-HR_r1i1p1f2,CNRM-CERFACS_CNRM-CM6-1_r1i1p1f2,IPSL_IPSL-CM6A-LR_r1i1p1f1,MOHC_UKESM1-0-LL_r1i1p1f2,MOHC_UKESM1-0-LL_r2i1p1f2,MOHC_UKESM1-0-LL_r3i1p1f2,MOHC_UKESM1-0-LL_r4i1p1f2,MPI-M_MPI-ESM1-2-HR_r1i1p1f1,MPI-M_MPI-ESM1-2-LR_r1i1p1f1,NCAR_CESM2-FV2_r1i1p1f1,NCAR_CESM2-WACCM-FV2_r1i1p1f1,NCAR_CESM2-WACCM_r1i1p1f1,NCAR_CESM2_r1i1p1f1,NCC_NorCPM1_r1i1p1f1,NCC_NorESM2-LM_r1i1p1f1,NCC_NorESM2-MM_r1i1p1f1,NOAA-GFDL_GFDL-CM4_r1i1p1f1,NOAA-GFDL_GFDL-ESM4_r1i1p1f1,SNU_SAM0-UNICON_r1i1p1f1,MRI_MRI-ESM2-0_r1i2p1f1
47,2309699700000000.0,,,,,,,,,,3515366600000000.0,3516755000000000.0,3516755000000000.0,3515366600000000.0,2309699700000000.0,2298287200000000.0,2298287200000000.0,3517706800000000.0,3442888700000000.0,,
48,2332796700000000.0,,,,,,,,,,3550519800000000.0,3551955400000000.0,3551954900000000.0,3550519800000000.0,2332796700000000.0,2321269600000000.0,2321269600000000.0,3553037200000000.0,3488464500000000.0,,
49,2356124600000000.0,,,,,,,,,,3586025200000000.0,3587507800000000.0,3587507800000000.0,3586025200000000.0,2356124600000000.0,2344482800000000.0,2344482800000000.0,3588422400000000.0,3531379800000000.0,,
50,2379686000000000.0,,,,,,,,,,3621886000000000.0,3623383400000000.0,3623383400000000.0,3621886000000000.0,2379686000000000.0,2367927700000000.0,2367927700000000.0,3624324300000000.0,3563247400000000.0,,
51,2403482500000000.0,,,,,,,,,,3658106300000000.0,3659616800000000.0,3659617000000000.0,3658106300000000.0,2403482500000000.0,2391607700000000.0,2391607700000000.0,3660722800000000.0,3583798800000000.0,,
52,2427517400000000.0,,,,,,,,,,3694686300000000.0,3696282000000000.0,3696282000000000.0,3694686300000000.0,2427517400000000.0,2415522600000000.0,2415522600000000.0,3697397000000000.0,3620154700000000.0,,
53,2451792800000000.0,,,,,,,,,,3731632700000000.0,3733278700000000.0,3733278700000000.0,3731632700000000.0,2451792800000000.0,2439678000000000.0,2439678000000000.0,3734298200000000.0,3669341200000000.0,,
54,2476310400000000.0,,,,,,,,,,3768948700000000.0,3770611700000000.0,3770611000000000.0,3768948700000000.0,2476310400000000.0,2464074500000000.0,2464074500000000.0,3771613500000000.0,3694334000000000.0,,
55,2501073500000000.0,,,,,,,,,,3806637800000000.0,3808246300000000.0,3808246300000000.0,3806637800000000.0,2501073500000000.0,2488715300000000.0,2488715300000000.0,3809400000000000.0,3728072100000000.0,,
56,2526084500000000.0,,,,,,,,,,3844703600000000.0,3846365700000000.0,3846366300000000.0,3844703600000000.0,2526084500000000.0,2513602000000000.0,2513602000000000.0,3847424500000000.0,3776287000000000.0,,
57,2551345300000000.0,,,,,,,,,,3883150800000000.0,3884864500000000.0,3884864800000000.0,3883150800000000.0,2551345300000000.0,2538738300000000.0,2538738300000000.0,3885899800000000.0,3816560800000000.0,,
58,2576858800000000.0,,,,,,,,,,3921984000000000.0,3923713500000000.0,3923713500000000.0,3921984000000000.0,2576858800000000.0,2564126600000000.0,2564126600000000.0,3924860300000000.0,3852264300000000.0,,
59,2602627500000000.0,,,,,,,,,,3961203500000000.0,3962877000000000.0,3962877000000000.0,3961203500000000.0,2602627500000000.0,2589767800000000.0,2589767800000000.0,3964103400000000.0,3891844600000000.0,,
60,2628654000000000.0,,,,,,,,,,4000814600000000.0,4002543600000000.0,4002544200000000.0,4000814600000000.0,2628654000000000.0,2615665000000000.0,2615665000000000.0,4003614700000000.0,3941366000000000.0,,
61,2654940500000000.0,,,,,,,,,,4040823300000000.0,4042605500000000.0,4042605800000000.0,4040823300000000.0,2654940500000000.0,2641821800000000.0,2641821800000000.0,4043945500000000.0,3979018800000000.0,,
62,2681489300000000.0,,,,,,,,,,4081232300000000.0,4083032100000000.0,4083032000000000.0,4081232300000000.0,2681489300000000.0,2668240000000000.0,2668240000000000.0,4084396600000000.0,4002543000000000.0,,
63,2708304400000000.0,,,,,,,,,,4122044000000000.0,4123785200000000.0,4123785000000000.0,4122044000000000.0,2708304400000000.0,2694922600000000.0,2694922600000000.0,4124928700000000.0,4041557800000000.0,,
64,2735387600000000.0,,,,,,,,,,4163265300000000.0,4165063000000000.0,4165063000000000.0,4163265300000000.0,2735387600000000.0,2721872200000000.0,2721872200000000.0,4166321200000000.0,4086012600000000.0,,
65,2762741700000000.0,,,,,,,,,,4204898600000000.0,4206752000000000.0,4206752000000000.0,4204898600000000.0,2762741700000000.0,2749091300000000.0,2749091300000000.0,4208127400000000.0,4128368000000000.0,,
66,2790368600000000.0,,,,,,,,,,4246946600000000.0,4248819200000000.0,4248819200000000.0,4246946600000000.0,2790368600000000.0,2776581700000000.0,2776581700000000.0,4250166800000000.0,4171582500000000.0,,
67,2818272400000000.0,,,,,,,,,,4289416900000000.0,4291227500000000.0,4291227700000000.0,4289416900000000.0,2818272400000000.0,2804348000000000.0,2804348000000000.0,4292612600000000.0,4220684000000000.0,,
68,2846455000000000.0,,,,,,,,,,4332310000000000.0,4334181400000000.0,4334181400000000.0,4332310000000000.0,2846455000000000.0,2832390500000000.0,2832390500000000.0,4335704800000000.0,4266236400000000.0,,
69,2874919800000000.0,,,,,,,,,,4375633000000000.0,4377562700000000.0,4377562700000000.0,4375633000000000.0,2874919800000000.0,2860714800000000.0,2860714800000000.0,4379214400000000.0,4299601800000000.0,,
70,2903669300000000.0,,,,,,,,,,4419388000000000.0,4421338400000000.0,4421338400000000.0,4419388000000000.0,2903669300000000.0,2889320300000000.0,2889320300000000.0,4422731800000000.0,4338174700000000.0,,
71,2932705700000000.0,,,,,,,,,,4463582600000000.0,4465468600000000.0,4465468000000000.0,4463582600000000.0,2932705700000000.0,2918214500000000.0,2918214500000000.0,4467058000000000.0,4386887000000000.0,,
72,2962032500000000.0,,,,,,,,,,4508219000000000.0,4510166600000000.0,4510166600000000.0,4508219000000000.0,2962032500000000.0,2947397000000000.0,2947397000000000.0,4511781500000000.0,4435157000000000.0,,
73,2991653000000000.0,,,,,,,,,,4553300500000000.0,4555309000000000.0,4555309000000000.0,4553300500000000.0,2991653000000000.0,2976870800000000.0,2976870800000000.0,4556872000000000.0,4468019800000000.0,,
74,3021569600000000.0,,,,,,,,,,4598837000000000.0,4600863000000000.0,4600863000000000.0,4598837000000000.0,3021569600000000.0,3006641400000000.0,3006641400000000.0,4602516500000000.0,4510366000000000.0,,
75,3051785500000000.0,,,,,,,,,,4644824000000000.0,4646784700000000.0,4646784700000000.0,4644824000000000.0,3051785500000000.0,3036707000000000.0,3036707000000000.0,4648681000000000.0,4565504600000000.0,,
76,3082303000000000.0,,,,,,,,,,4691268000000000.0,4693297600000000.0,4693297600000000.0,4691268000000000.0,3082303000000000.0,3067071600000000.0,3067071600000000.0,4695167500000000.0,4609268700000000.0,,
77,3113126200000000.0,,,,,,,,,,4738180500000000.0,4740273000000000.0,4740273000000000.0,4738180500000000.0,3113126200000000.0,3097742200000000.0,3097742200000000.0,4742118500000000.0,4659339000000000.0,,
78,3144257200000000.0,,,,,,,,,,4785562600000000.0,4787676000000000.0,4787676000000000.0,4785562600000000.0,3144257200000000.0,3128719400000000.0,3128719400000000.0,4789646600000000.0,4718457500000000.0,,
79,3175700200000000.0,,,,,,,,,,4833420400000000.0,4835462600000000.0,4835462600000000.0,4833420400000000.0,3175700200000000.0,3160008200000000.0,3160008200000000.0,4837426500000000.0,4748962500000000.0,,
80,3207457100000000.0,,,,,,,,,,4881755000000000.0,4883865000000000.0,4883864000000000.0,4881755000000000.0,3207457100000000.0,3191608500000000.0,3191608500000000.0,4885964000000000.0,4792347600000000.0,,
81,3239531400000000.0,,,,,,,,,,4930574700000000.0,4932748000000000.0,4932747400000000.0,4930574700000000.0,3239531400000000.0,3223526200000000.0,3223526200000000.0,4934886300000000.0,4852213000000000.0,,
82,3271927300000000.0,,,,,,,,,,4979877700000000.0,4982074600000000.0,4982074600000000.0,4979877700000000.0,3271927300000000.0,3255760000000000.0,3255760000000000.0,4984192000000000.0,4898071400000000.0,,
83,3304645800000000.0,,,,,,,,,,5029678000000000.0,5031801700000000.0,5031801700000000.0,5029678000000000.0,3304645800000000.0,3288318200000000.0,3288318200000000.0,5034010400000000.0,4951913000000000.0,,
84,3337692400000000.0,,,,,,,,,,5079973500000000.0,5082168000000000.0,5082168000000000.0,5079973500000000.0,3337692400000000.0,3321200800000000.0,3321200800000000.0,5084415000000000.0,5007730500000000.0,,
85,3371069600000000.0,,,,,,,,,,5130773000000000.0,5133037000000000.0,5133036000000000.0,5130773000000000.0,3371069600000000.0,3354412100000000.0,3354412100000000.0,5135415600000000.0,5048602500000000.0,,
