year,CSIRO_ACCESS-ESM1-5_r1i1p1f1,MOHC_HadGEM3-GC31-LL_r3i1p1f3,CCCma_CanESM5_r2i1p1f1,MOHC_HadGEM3-GC31-LL_r4i1p1f3,NOAA-GFDL_GFDL-CM4_r1i1p1f1,MIROC_MIROC-ES2L_r1i1p1f2,MOHC_UKESM1-0-LL_r1i1p1f2,NCC_NorCPM1_r1i1p1f1,NCC_NorESM2-LM_r1i1p1f1,CCCma_CanESM5_r2i1p2f1,CAMS_CAMS-CSM1-0_r2i1p1f1,MIROC_MIROC6_r1i1p1f1,MOHC_HadGEM3-GC31-LL_r2i1p1f3,CSIRO-ARCCSS_ACCESS-CM2_r1i1p1f1,IPSL_IPSL-CM6A-LR_r1i1p1f1,MOHC_UKESM1-0-LL_r2i1p1f2,CNRM-CERFACS_CNRM-CM6-1_r1i1p1f2,MRI_MRI-ESM2-0_r1i2p1f1,CCCma_CanESM5_r1i1p2f1,MOHC_HadGEM3-GC31-LL_r1i1p1f3,MOHC_UKESM1-0-LL_r3i1p1f2,MRI_MRI-ESM2-0_r1i1p1f1,CCCma_CanESM5_r3i1p1f1,NASA-GISS_GISS-E2-1-H_r1i1p1f1,INM_INM-CM4-8_r1i1p1f1,CNRM-CERFACS_CNRM-ESM2-1_r4i1p1f2,CCCma_CanESM5_r3i1p2f1,NCAR_CESM2-WACCM_r1i1p1f1,CNRM-CERFACS_CNRM-ESM2-1_r3i1p1f2,NASA-GISS_GISS-E2-1-G_r102i1p1f1,MOHC_UKESM1-0-LL_r4i1p1f2,E3SM-Project_E3SM-1-0_r1i1p1f1,CCCma_CanESM5_r1i1p1f1,BCC_BCC-ESM1_r1i1p1f1,NASA-GISS_GISS-E2-1-G_r101i1p1f1,NASA-GISS_GISS-E2-1-G_r1i1p3f1,MPI-M_MPI-ESM1-2-HR_r1i1p1f1,CNRM-CERFACS_CNRM-ESM2-1_r2i1p1f2,MPI-M_MPI-ESM1-2-LR_r1i1p1f1,NASA-GISS_GISS-E2-1-G_r1i1p1f1,CAMS_CAMS-CSM1-0_r1i1p1f1,SNU_SAM0-UNICON_r1i1p1f1,NCAR_CESM2_r1i1p1f1,CNRM-CERFACS_CNRM-ESM2-1_r1i1p1f2
56,,,,,79.17266,,,44.51811,100.4505,,,,,,,,,,,,,,,,,,,98.381615,,,,96.78254,,,,,,,,,,,97.35092,
57,,,,,78.489586,,,44.64459,101.112236,,,,,,,,,,,,,,,,,,,98.69976,,,,96.19247,,,,,,,,,,,96.78329,
58,,,,,78.50763,,,44.42439,100.59603,,,,,,,,,,,,,,,,,,,98.44448,,,,96.36874,,,,,,,,,,,97.26165,
59,,,,,78.93032,,,44.554565,99.829956,,,,,,,,,,,,,,,,,,,98.91976,,,,95.79816,,,,,,,,,,,96.72164,
60,,,,,78.5727,,,44.523647,100.0601,,,,,,,,,,,,,,,,,,,98.05973,,,,95.33721,,,,,,,,,,,97.0066,
61,,,,,78.39698,,,44.577103,100.05433,,,,,,,,,,,,,,,,,,,98.20703,,,,95.75158,,,,,,,,,,,96.9376,
62,,,,,79.16647,,,44.49007,100.50016,,,,,,,,,,,,,,,,,,,97.98889,,,,95.662315,,,,,,,,,,,97.14707,
63,,,,,78.55672,,,44.479675,101.376465,,,,,,,,,,,,,,,,,,,98.15307,,,,95.840904,,,,,,,,,,,96.55099,
64,,,,,78.51109,,,44.46446,101.7866,,,,,,,,,,,,,,,,,,,98.26061,,,,95.89661,,,,,,,,,,,97.219055,
65,,,,,78.64707,,,44.478516,100.10446,,,,,,,,,,,,,,,,,,,97.83722,,,,95.558136,,,,,,,,,,,96.71816,
66,,,,,78.66102,,,44.416355,100.57299,,,,,,,,,,,,,,,,,,,98.08301,,,,95.46896,,,,,,,,,,,97.12592,
67,,,,,78.579094,,,44.37524,100.813255,,,,,,,,,,,,,,,,,,,97.724236,,,,95.292694,,,,,,,,,,,97.13388,
68,,,,,78.11883,,,44.450443,100.930695,,,,,,,,,,,,,,,,,,,97.96743,,,,95.49076,,,,,,,,,,,96.77155,
69,,,,,78.73113,,,44.50087,100.197716,,,,,,,,,,,,,,,,,,,97.72375,,,,95.20103,,,,,,,,,,,96.72247,
70,,,,,78.56504,,,44.516766,101.494316,,,,,,,,,,,,,,,,,,,97.4865,,,,95.69403,,,,,,,,,,,96.36654,
71,,,,,78.23057,,,44.357193,100.38691,,,,,,,,,,,,,,,,,,,98.06017,,,,95.22095,,,,,,,,,,,96.648476,
72,,,,,78.7436,,,44.220287,100.129845,,,,,,,,,,,,,,,,,,,97.440285,,,,95.48637,,,,,,,,,,,96.783226,
73,,,,,78.31216,,,44.272472,101.11918,,,,,,,,,,,,,,,,,,,97.413536,,,,95.190285,,,,,,,,,,,96.64249,
74,,,,,78.106346,,,44.360462,100.76813,,,,,,,,,,,,,,,,,,,97.71924,,,,94.936035,,,,,,,,,,,96.42083,
75,,,,,78.55012,,,44.47879,100.5429,,,,,,,,,,,,,,,,,,,97.27427,,,,95.63125,,,,,,,,,,,96.42696,
76,,,,,78.38856,,,44.251877,100.65557,,,,,,,,,,,,,,,,,,,97.46694,,,,95.58189,,,,,,,,,,,96.48286,
77,,,,,77.876755,,,44.262924,101.64313,,,,,,,,,,,,,,,,,,,96.80424,,,,95.345184,,,,,,,,,,,96.13462,
78,,,,,78.350105,,,44.288425,100.42032,,,,,,,,,,,,,,,,,,,97.37482,,,,94.69608,,,,,,,,,,,96.77014,
79,,,,,77.845985,,,44.205196,100.55416,,,,,,,,,,,,,,,,,,,97.428925,,,,94.08701,,,,,,,,,,,96.196465,
80,,,,,77.962074,,,44.156834,100.47824,,,,,,,,,,,,,,,,,,,96.81018,,,,94.739555,,,,,,,,,,,96.57702,
81,,,,,78.183075,,,44.385956,101.65564,,,,,,,,,,,,,,,,,,,96.647766,,,,94.42517,,,,,,,,,,,95.639656,
82,,,,,78.243034,,,44.19956,100.60922,,,,,,,,,,,,,,,,,,,97.32224,,,,94.49862,,,,,,,,,,,96.909904,
83,,,,,78.12616,,,44.135273,101.266075,,,,,,,,,,,,,,,,,,,97.21393,,,,94.52264,,,,,,,,,,,96.49231,
84,,,,,78.23524,,,44.25395,100.72173,,,,,,,,,,,,,,,,,,,96.54504,,,,94.51114,,,,,,,,,,,95.99182,
85,,,,,78.2736,,,44.2459,101.04437,,,,,,,,,,,,,,,,,,,96.95309,,,,94.07249,,,,,,,,,,,96.32919,
86,,,,,77.93899,,,44.097855,101.6405,,,,,,,,,,,,,,,,,,,97.35742,,,,93.95417,,,,,,,,,,,96.56744,
87,,,,,77.74604,,,44.135147,100.2129,,,,,,,,,,,,,,,,,,,97.163605,,,,93.57867,,,,,,,,,,,95.602425,
88,,,,,78.14349,,,44.089092,101.01822,,,,,,,,,,,,,,,,,,,97.03887,,,,94.12841,,,,,,,,,,,95.7266,
89,,,,,77.9505,,,44.255016,101.17447,,,,,,,,,,,,,,,,,,,97.09973,,,,94.485016,,,,,,,,,,,96.32114,
