,,,lambda,ecs,tcr,alpha,beta,a0,a1,a2,tau0,tau1,tau2
GFDL-CM4,ts,irm-2,0.8441366716993504,3.5245942763640987,1.9741880018192421,4.292362956936625,1.064776671499271,0.4997213579685954,0.5002786420314047,,2.8900872792905736,190.87142627032375,
GFDL-CM4,ts,irm-3,0.8211611394304814,3.5560836486287,1.9755598895099544,4.212839325782278,1.0681470890488145,0.2741623558843037,0.23825093857077326,0.4875867055449231,1.0989532925557541,7.0475924096263185,213.4911596289487
GISS-E2-1-G,tas,conventional,1.4426862368146425,2.7187544170569886,1.7596293465316903,,,,,,,,
GISS-E2-1-G,tas,irm-2,1.263636368005072,2.7820690616859625,1.7368592079119962,5.07182852826175,1.0168033467990358,0.6081266517387679,0.39187334826123205,,2.570820224453147,329.7876118206518,
GISS-E2-1-G,tas,irm-3,1.3889424605521592,2.68791219745335,1.7366194248822413,5.386093294447363,1.0223472407741818,0.2568932906225454,0.3805824237199829,0.36252428565747175,0.500997235917203,4.513507199917931,335.96272611521744
GISS-E2-1-G,ts,conventional,1.4851252876933498,2.5920298139316986,1.664131515094803,,,,,,,,
GISS-E2-1-G,ts,irm-2,1.3120081783252358,2.6529593426228177,1.6441040277410117,5.021594910728281,1.0145491002069569,0.603876780559809,0.39612321944019097,,2.6638561446357802,330.6926894707102,
GISS-E2-1-G,ts,irm-3,1.4318658026992908,2.5685382279308007,1.643868563148812,5.305946781070235,1.0197897284702158,0.24105970916955735,0.3899252058282271,0.3690150850022155,0.5255427470874305,4.4561608622930535,335.61858095861567
GISS-E2-1-H,tas,conventional,1.1371032715957459,3.1122252541847906,1.9240483108172044,,,,,,,,
GISS-E2-1-H,tas,irm-2,1.0698970542236115,3.1113473678320847,1.9177648866707726,4.802474101994921,1.0169813812971042,0.5725543340129925,0.4274456659870074,,3.7549225632458016,175.37533417958966,
GISS-E2-1-H,tas,irm-3,1.0977074717023179,3.074474861814947,1.9187433770478979,4.868914022919191,1.023703763156896,0.26596502700540464,0.3427512081227925,0.3912837648718028,0.7808931422500482,8.544861192723978,201.82386403597752
GISS-E2-1-H,ts,conventional,1.1623149716658423,2.9886842188302056,1.8317216577449813,,,,,,,,
